wellName,datasetName,DEPT,DT,FACIES_2010_New,GR,NPHI,PHIE,RHOB,VCL
,,m,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
15_1-SD-3X,LQC,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,0.125,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,0.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,0.375,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,0.625,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,0.75,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,0.875,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1.125,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1.375,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1.625,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1.75,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,1.875,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,2.125,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,2.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,2.375,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15_1-SD-3X,LQC,2.625,-9999,-9999,-9999,-9999,-9999,-9999,-9999
