wellName,datasetName,DEPTH,DepoFacies,DT,Facies,GR,NPHI,PHIE,RHOB,VCL
,,M,unitless,US/F,unitless,GAPI,frac,V/V,g/cm3,V/V
SVNE-2P,SVNE-2P,2520,0,100.3783,-9999,108.121803283691,0.3432,0.0114,2.3697,0.8161
SVNE-2P,SVNE-2P,2520.15,0,96.2967,-9999,108.808097839355,0.3342,0.0093,2.3904,0.826
SVNE-2P,SVNE-2P,2520.3,0,90.8146,-9999,107.201103210449,0.3184,0.0111,2.42,0.8175
SVNE-2P,SVNE-2P,2520.45,0,85.9309,-9999,103.426902770996,0.2871,0.0313,2.4365,0.7494
SVNE-2P,SVNE-2P,2520.6,0,82.7016,-9999,99.8049011230469,0.2557,0.0528,2.4139,0.6382
SVNE-2P,SVNE-2P,2520.75,2,80.8421,0,97.3189010620117,0.2384,0.0882,2.3652,0.5329
SVNE-2P,SVNE-2P,2520.9,2,79.7616,0,95.1753997802734,0.2349,0.1149,2.3268,0.4689
SVNE-2P,SVNE-2P,2521.05,2,79.2767,0,94.6445007324219,0.2395,0.1216,2.3164,0.4629
SVNE-2P,SVNE-2P,2521.2,2,79.2263,0,97.9486999511719,0.2504,0.1069,2.3316,0.5231
SVNE-2P,SVNE-2P,2521.35,2,79.5253,0,102.133903503418,0.2586,0.0796,2.366,0.6052
SVNE-2P,SVNE-2P,2521.5,0,80.3517,0,102.163398742676,0.2544,0.0605,2.3975,0.6325
SVNE-2P,SVNE-2P,2521.65,0,81.1058,0,97.1426010131836,0.247,0.07,2.3925,0.5796
SVNE-2P,SVNE-2P,2521.8,2,81.6927,0,91.4029998779297,0.2476,0.0963,2.3607,0.5077
SVNE-2P,SVNE-2P,2521.95,2,81.9734,0,88.7307968139648,0.2479,0.1127,2.3403,0.468
SVNE-2P,SVNE-2P,2522.1,2,81.7113,0,89.3748016357422,0.2404,0.1098,2.3446,0.4622
SVNE-2P,SVNE-2P,2522.25,2,81.103,0,91.9726028442383,0.2309,0.0959,2.3637,0.4817
SVNE-2P,SVNE-2P,2522.4,2,80.4045,0,96.6608963012695,0.2317,0.076,2.3867,0.5395
SVNE-2P,SVNE-2P,2522.55,2,79.9042,1,102.758003234863,0.2422,0.0605,2.4014,0.6165
SVNE-2P,SVNE-2P,2522.7,2,79.6392,1,107.470397949219,0.2487,0.0499,2.4067,0.666
SVNE-2P,SVNE-2P,2522.85,1,79.4585,1,107.834899902344,0.2416,0.0497,2.4074,0.655
SVNE-2P,SVNE-2P,2523,1,79.2201,1,104.761199951172,0.2312,0.0605,2.3992,0.6052
SVNE-2P,SVNE-2P,2523.15,1,79.1157,1,100.957000732422,0.2292,0.076,2.3796,0.5545
SVNE-2P,SVNE-2P,2523.3,1,79.4863,0,96.8022003173828,0.2339,0.0929,2.359,0.5137
SVNE-2P,SVNE-2P,2523.45,1,80.3046,0,92.3655014038086,0.2376,0.1036,2.3496,0.4816
SVNE-2P,SVNE-2P,2523.6,1,81.1738,0,89.5386962890625,0.2401,0.1062,2.3501,0.4688
SVNE-2P,SVNE-2P,2523.75,1,81.8419,0,89.2319030761719,0.2418,0.1072,2.3487,0.4686
SVNE-2P,SVNE-2P,2523.9,1,82.2511,0,89.0175018310547,0.2358,0.1144,2.3387,0.4441
SVNE-2P,SVNE-2P,2524.05,1,82.3835,0,88.1567001342773,0.2309,0.1201,2.3321,0.4213
SVNE-2P,SVNE-2P,2524.2,1,82.5793,0,84.9767990112305,0.2248,0.1315,2.3217,0.3769
SVNE-2P,SVNE-2P,2524.35,1,82.5222,0,81.6686019897461,0.2267,0.1389,2.3169,0.3538
SVNE-2P,SVNE-2P,2524.5,1,82.52,0,79.7024993896484,0.2274,0.1418,2.3168,0.3423
SVNE-2P,SVNE-2P,2524.65,1,82.7776,0,78.2126998901367,0.2277,0.1408,2.322,0.3391
SVNE-2P,SVNE-2P,2524.8,1,83.1022,0,76.7643966674805,0.2353,0.1371,2.3304,0.3542
SVNE-2P,SVNE-2P,2524.95,1,83.5614,0,76.5193023681641,0.2423,0.1375,2.33,0.366
SVNE-2P,SVNE-2P,2525.1,1,84.0232,0,78.3877029418945,0.2363,0.144,2.3156,0.3501
SVNE-2P,SVNE-2P,2525.25,1,84.4767,0,80.1666030883789,0.2314,0.152,2.299,0.3332
SVNE-2P,SVNE-2P,2525.4,1,84.3743,0,80.2967987060547,0.2431,0.1554,2.2921,0.3495
SVNE-2P,SVNE-2P,2525.55,1,83.5152,0,82.2416000366211,0.2668,0.1471,2.299,0.417
SVNE-2P,SVNE-2P,2525.7,0,82.4987,0,88.8488006591797,0.2873,0.119,2.3259,0.5308
SVNE-2P,SVNE-2P,2525.85,0,80.9562,1,98.5619964599609,0.2962,0.0718,2.3789,0.6711
SVNE-2P,SVNE-2P,2526,0,79.1405,1,107.89990234375,0.2925,0.0146,2.4492,0.8034
SVNE-2P,SVNE-2P,2526.15,0,77.469,1,113.723602294922,0.2761,0.0001,2.512,0.8793
SVNE-2P,SVNE-2P,2526.3,0,76.137,-9999,113.949401855469,0.2592,0.0001,2.5512,0.8913
SVNE-2P,SVNE-2P,2526.45,0,75.2014,-9999,109.331497192383,0.2561,0.0001,2.5725,0.8788
SVNE-2P,SVNE-2P,2526.6,0,74.5144,-9999,101.416603088379,0.2588,0.0001,2.5829,0.8274
SVNE-2P,SVNE-2P,2526.75,0,74.2082,-9999,92.6461029052734,0.2482,0.0001,2.5833,0.7673
SVNE-2P,SVNE-2P,2526.9,0,74.41,-9999,86.8889007568359,0.2304,0.0001,2.5722,0.6821
SVNE-2P,SVNE-2P,2527.05,0,75.2565,-9999,86.6802978515625,0.2268,0.0001,2.5579,0.6575
SVNE-2P,SVNE-2P,2527.2,0,76.2597,-9999,92.1503982543945,0.2459,0.0001,2.5506,0.7227
SVNE-2P,SVNE-2P,2527.35,0,77.2413,-9999,100.919502258301,0.2736,0.0001,2.5492,0.8242
SVNE-2P,SVNE-2P,2527.5,0,77.7503,-9999,109.516502380371,0.2822,0.0001,2.5439,0.88
SVNE-2P,SVNE-2P,2527.65,0,77.9084,-9999,114.912399291992,0.2707,0.0001,2.5378,0.9053
SVNE-2P,SVNE-2P,2527.8,0,77.8467,-9999,116.029197692871,0.2616,0.0001,2.5428,0.9002
SVNE-2P,SVNE-2P,2527.95,0,77.6796,-9999,114.916999816895,0.2622,0.0001,2.5541,0.9068
SVNE-2P,SVNE-2P,2528.1,0,77.257,-9999,115.022399902344,0.2662,0.0001,2.5584,0.9157
SVNE-2P,SVNE-2P,2528.25,0,76.4916,-9999,117.119598388672,0.2673,0.0001,2.5542,0.9293
SVNE-2P,SVNE-2P,2528.4,0,75.8732,-9999,119.043701171875,0.265,0.0001,2.5467,0.9309
SVNE-2P,SVNE-2P,2528.55,0,75.6045,-9999,120.018798828125,0.259,0.0001,2.5358,0.913
SVNE-2P,SVNE-2P,2528.7,0,75.5643,-9999,121.913597106934,0.2481,0.0001,2.5214,0.8875
SVNE-2P,SVNE-2P,2528.85,0,75.707,-9999,123.468803405762,0.2436,0.0001,2.5129,0.8791
SVNE-2P,SVNE-2P,2529,0,76.0455,-9999,125.638801574707,0.243,0.0001,2.4938,0.8706
SVNE-2P,SVNE-2P,2529.15,0,76.6022,1,123.799598693848,0.2519,0.0001,2.4761,0.8564
SVNE-2P,SVNE-2P,2529.3,0,77.465,1,119.013397216797,0.2617,0.0024,2.458,0.8244
SVNE-2P,SVNE-2P,2529.45,0,78.7762,1,112.529403686523,0.2673,0.0351,2.4194,0.75
SVNE-2P,SVNE-2P,2529.6,0,80.5203,1,102.178100585938,0.2607,0.0882,2.3523,0.5942
SVNE-2P,SVNE-2P,2529.75,0,82.5641,1,88.622200012207,0.2344,0.151,2.2829,0.376
SVNE-2P,SVNE-2P,2529.9,2,84.6918,0,75.646598815918,0.2063,0.1974,2.2379,0.1854
SVNE-2P,SVNE-2P,2530.05,2,86.5362,0,65.6230010986328,0.1951,0.219,2.2204,0.095
SVNE-2P,SVNE-2P,2530.2,2,87.6574,0,59.1248016357422,0.2038,0.233,2.2178,0.0528
SVNE-2P,SVNE-2P,2530.35,2,88.0676,0,55.7690010070801,0.223,0.2394,2.2198,0.0691
SVNE-2P,SVNE-2P,2530.5,2,88.2754,0,54.0742988586426,0.2367,0.2413,2.2205,0.0861
SVNE-2P,SVNE-2P,2530.65,2,88.5947,0,53.834098815918,0.2363,0.2424,2.2193,0.0824
SVNE-2P,SVNE-2P,2530.8,2,89.0675,0,54.9570999145508,0.227,0.2486,2.2163,0.0438
SVNE-2P,SVNE-2P,2530.95,2,89.378,0,56.3516006469727,0.2208,0.2504,2.2136,0.0305
SVNE-2P,SVNE-2P,2531.1,2,89.4005,0,56.6263999938965,0.2201,0.2487,2.2157,0.0336
SVNE-2P,SVNE-2P,2531.25,2,89.1267,0,56.4087982177734,0.2163,0.2446,2.2234,0.0331
SVNE-2P,SVNE-2P,2531.4,2,88.7046,0,56.6417999267578,0.2071,0.2384,2.234,0.0282
SVNE-2P,SVNE-2P,2531.55,2,88.4104,0,56.5308990478516,0.2013,0.2334,2.2431,0.0261
SVNE-2P,SVNE-2P,2531.7,2,88.2862,0,55.8431015014648,0.2055,0.2336,2.2434,0.0311
SVNE-2P,SVNE-2P,2531.85,2,88.3137,0,56.3987007141113,0.2137,0.2397,2.2315,0.0371
SVNE-2P,SVNE-2P,2532,2,88.3512,0,58.3412017822266,0.2151,0.2441,2.2175,0.0381
SVNE-2P,SVNE-2P,2532.15,2,88.2833,0,59.8513984680176,0.2116,0.2441,2.2109,0.0345
SVNE-2P,SVNE-2P,2532.3,2,88.1361,0,61.375301361084,0.2142,0.2421,2.2086,0.0485
SVNE-2P,SVNE-2P,2532.45,2,87.9097,0,63.3843994140625,0.218,0.2381,2.2081,0.0708
SVNE-2P,SVNE-2P,2532.6,2,87.4837,0,64.8712005615234,0.2118,0.2318,2.2144,0.0764
SVNE-2P,SVNE-2P,2532.75,2,86.7891,0,65.8470001220703,0.2012,0.2219,2.2293,0.0793
SVNE-2P,SVNE-2P,2532.9,2,85.9528,0,67.3658981323242,0.1953,0.2095,2.246,0.098
SVNE-2P,SVNE-2P,2533.05,2,85.1926,0,70.3211975097656,0.1937,0.1983,2.2564,0.1289
SVNE-2P,SVNE-2P,2533.2,2,84.552,0,74.8557968139648,0.1978,0.1891,2.2587,0.1739
SVNE-2P,SVNE-2P,2533.35,2,84.0661,0,77.8094024658203,0.2106,0.1838,2.2578,0.2213
SVNE-2P,SVNE-2P,2533.5,2,83.9178,0,76.6240005493164,0.2211,0.184,2.2591,0.2356
SVNE-2P,SVNE-2P,2533.65,2,83.9445,0,75.0431976318359,0.2212,0.1855,2.2609,0.2261
SVNE-2P,SVNE-2P,2533.8,2,84.1735,0,72.1712036132812,0.2142,0.1877,2.2664,0.1967
SVNE-2P,SVNE-2P,2533.95,2,84.2709,0,71.2649002075195,0.2105,0.1852,2.2734,0.1905
SVNE-2P,SVNE-2P,2534.1,2,84.0411,0,72.8893966674805,0.2162,0.1776,2.2805,0.2226
SVNE-2P,SVNE-2P,2534.25,2,83.7832,0,75.4446029663086,0.2219,0.1694,2.2858,0.2597
SVNE-2P,SVNE-2P,2534.4,1,83.8003,0,76.8161010742188,0.2209,0.1693,2.2824,0.2639
SVNE-2P,SVNE-2P,2534.55,1,84.2261,0,76.8159027099609,0.2161,0.1771,2.2705,0.24
SVNE-2P,SVNE-2P,2534.7,1,84.9474,0,75.9310989379883,0.2099,0.1846,2.2616,0.2102
SVNE-2P,SVNE-2P,2534.85,1,85.7634,0,74.3425979614258,0.2066,0.1875,2.2615,0.1915
SVNE-2P,SVNE-2P,2535,1,86.2093,0,73.7889022827148,0.2102,0.188,2.2616,0.1949
SVNE-2P,SVNE-2P,2535.15,1,86.3982,0,76.548698425293,0.2158,0.1895,2.251,0.2146
SVNE-2P,SVNE-2P,2535.3,1,86.5404,0,81.5282974243164,0.2103,0.1959,2.2295,0.2153
SVNE-2P,SVNE-2P,2535.45,1,86.5951,0,84.8122024536133,0.1944,0.1983,2.2113,0.215
SVNE-2P,SVNE-2P,2535.6,1,86.4356,0,82.9423980712891,0.1817,0.1956,2.2156,0.2011
SVNE-2P,SVNE-2P,2535.75,2,86.1164,0,77.5923004150391,0.1817,0.191,2.2462,0.1611
SVNE-2P,SVNE-2P,2535.9,2,85.7204,0,73.6279983520508,0.1877,0.1799,2.2778,0.1662
SVNE-2P,SVNE-2P,2536.05,2,85.4748,0,74.779296875,0.1927,0.1757,2.2809,0.1887
SVNE-2P,SVNE-2P,2536.2,2,85.7832,0,80.4928970336914,0.1959,0.1788,2.2617,0.2155
SVNE-2P,SVNE-2P,2536.35,2,85.9758,0,86.616096496582,0.1983,0.1782,2.248,0.2501
SVNE-2P,SVNE-2P,2536.5,2,85.9125,0,87.4216995239258,0.1996,0.1752,2.251,0.2623
SVNE-2P,SVNE-2P,2536.65,2,85.6267,0,81.9404983520508,0.2017,0.1763,2.2614,0.2379
SVNE-2P,SVNE-2P,2536.8,2,85.675,0,75.0410995483398,0.2027,0.184,2.2657,0.1935
SVNE-2P,SVNE-2P,2536.95,2,86.0706,0,70.3600006103516,0.2028,0.1952,2.2601,0.1523
SVNE-2P,SVNE-2P,2537.1,2,86.481,0,67.5469970703125,0.2061,0.2062,2.25,0.1263
SVNE-2P,SVNE-2P,2537.25,2,86.8603,0,66.8460998535156,0.2101,0.2095,2.2462,0.1248
SVNE-2P,SVNE-2P,2537.4,2,87.4671,0,72.1496963500977,0.2176,0.1881,2.2658,0.2028
SVNE-2P,SVNE-2P,2537.55,2,88.5144,0,87.6178970336914,0.2414,0.1129,2.3196,0.5086
SVNE-2P,SVNE-2P,2537.7,0,89.318,1,109.916603088379,0.2903,0.0109,2.3919,0.8183
SVNE-2P,SVNE-2P,2537.85,0,89.3505,1,127.664703369141,0.3495,0.0001,2.4465,1
SVNE-2P,SVNE-2P,2538,0,88.5922,-9999,133.917098999023,0.3639,0.0001,2.4706,1
SVNE-2P,SVNE-2P,2538.15,0,86.9108,-9999,133.149795532227,0.3244,0.0001,2.4827,1
SVNE-2P,SVNE-2P,2538.3,0,84.3811,-9999,131.471405029297,0.2815,0.0001,2.4922,1
SVNE-2P,SVNE-2P,2538.45,0,82.9881,-9999,130.427093505859,0.2688,0.0001,2.4929,1
SVNE-2P,SVNE-2P,2538.6,0,80.6456,-9999,126.876800537109,0.261,0.0001,2.483,1
SVNE-2P,SVNE-2P,2538.75,0,79.2416,-9999,122.268997192383,0.2636,0.0001,2.4635,0.9898
SVNE-2P,SVNE-2P,2538.9,0,79.1215,-9999,118.636199951172,0.2614,0.0001,2.4386,0.9394
SVNE-2P,SVNE-2P,2539.05,0,80.2325,1,114.373199462891,0.2582,0.0001,2.4023,0.8802
SVNE-2P,SVNE-2P,2539.2,1,81.6402,1,108.285598754883,0.2586,0.0104,2.3599,0.7956
SVNE-2P,SVNE-2P,2539.35,1,82.7929,0,102.284301757812,0.25,0.0645,2.3312,0.7123
SVNE-2P,SVNE-2P,2539.5,1,83.6785,0,98.427001953125,0.2312,0.0847,2.3235,0.6587
SVNE-2P,SVNE-2P,2539.65,1,84.159,0,96.2115020751953,0.2181,0.0862,2.3244,0.6279
SVNE-2P,SVNE-2P,2539.8,1,84.1331,0,93.8438034057617,0.2168,0.0928,2.3217,0.5951
SVNE-2P,SVNE-2P,2539.95,1,83.6766,0,90.6865005493164,0.2209,0.1054,2.3152,0.5512
SVNE-2P,SVNE-2P,2540.1,1,82.9653,0,88.7173004150391,0.2251,0.11,2.3102,0.5239
SVNE-2P,SVNE-2P,2540.25,1,82.3256,0,89.5112991333008,0.2239,0.1086,2.3088,0.5349
SVNE-2P,SVNE-2P,2540.4,1,82.1483,0,90.5787963867188,0.2145,0.1072,2.3074,0.5497
SVNE-2P,SVNE-2P,2540.55,1,82.4936,0,89.7494964599609,0.2033,0.1074,2.3046,0.5382
SVNE-2P,SVNE-2P,2540.7,1,83.0407,0,86.8622970581055,0.1973,0.1117,2.3085,0.4981
SVNE-2P,SVNE-2P,2540.85,1,83.297,0,83.5063018798828,0.1951,0.1107,2.3232,0.4515
SVNE-2P,SVNE-2P,2541,1,83.0063,0,81.6402969360352,0.1984,0.1095,2.3378,0.4256
SVNE-2P,SVNE-2P,2541.15,1,82.4435,0,81.0979995727539,0.2077,0.1138,2.3358,0.418
SVNE-2P,SVNE-2P,2541.3,1,82.0489,0,80.2437973022461,0.2126,0.1232,2.3216,0.4062
SVNE-2P,SVNE-2P,2541.45,1,82.0509,0,79.9405975341797,0.2095,0.1275,2.3113,0.402
SVNE-2P,SVNE-2P,2541.6,1,82.6122,0,80.8928985595703,0.214,0.1276,2.308,0.4152
SVNE-2P,SVNE-2P,2541.75,1,83.8126,0,80.8890991210938,0.2322,0.1349,2.3018,0.4151
SVNE-2P,SVNE-2P,2541.9,1,85.459,0,79.7186965942383,0.2467,0.1504,2.2822,0.3989
SVNE-2P,SVNE-2P,2542.05,1,87.0809,0,79.5039978027344,0.247,0.1613,2.2565,0.3959
SVNE-2P,SVNE-2P,2542.2,1,88.0749,0,79.1481018066406,0.243,0.1656,2.2455,0.3909
SVNE-2P,SVNE-2P,2542.35,1,88.1691,0,77.097297668457,0.2355,0.1643,2.2567,0.3625
SVNE-2P,SVNE-2P,2542.5,1,87.557,0,75.2955017089844,0.2237,0.1578,2.2764,0.3374
SVNE-2P,SVNE-2P,2542.65,1,86.4588,0,75.0231018066406,0.2122,0.1509,2.2874,0.3337
SVNE-2P,SVNE-2P,2542.8,1,85.0946,0,74.9578018188477,0.2047,0.1493,2.2866,0.3327
SVNE-2P,SVNE-2P,2542.95,1,83.7832,0,74.2507019042969,0.202,0.1558,2.2734,0.3229
SVNE-2P,SVNE-2P,2543.1,1,83.1764,0,73.8797988891602,0.2036,0.1611,2.2638,0.3178
SVNE-2P,SVNE-2P,2543.25,1,82.3444,0,73.5643005371094,0.2152,0.1704,2.2505,0.3134
SVNE-2P,SVNE-2P,2543.4,1,82.0411,0,73.3159027099609,0.2356,0.179,2.2574,0.2861
SVNE-2P,SVNE-2P,2543.55,1,82.0437,0,72.9256973266602,0.2526,0.1783,2.2896,0.2811
SVNE-2P,SVNE-2P,2543.7,1,81.7356,1,75.2565994262695,0.2577,0.1515,2.3441,0.311
SVNE-2P,SVNE-2P,2543.85,1,80.7072,1,86.4421005249023,0.2559,0.093,2.4107,0.4544
SVNE-2P,SVNE-2P,2544,0,79.7935,1,103.641502380371,0.2476,0.023,2.4583,0.6749
SVNE-2P,SVNE-2P,2544.15,0,79.4091,1,113.798500061035,0.2324,0.0001,2.4614,0.8051
SVNE-2P,SVNE-2P,2544.3,0,79.0889,-9999,111.855003356934,0.2188,0.0001,2.4416,0.7802
SVNE-2P,SVNE-2P,2544.45,0,78.9224,-9999,107.346099853516,0.2137,0.0001,2.4281,0.7224
SVNE-2P,SVNE-2P,2544.6,0,79.0348,-9999,107.22679901123,0.2138,0.0001,2.423,0.7209
SVNE-2P,SVNE-2P,2544.75,0,79.357,-9999,108.986602783203,0.2113,0.0001,2.4229,0.7434
SVNE-2P,SVNE-2P,2544.9,0,79.7897,-9999,110.235397338867,0.2049,0.0001,2.4236,0.7594
