DEPTH,DT,GR,NPHI,PHIE,RHOB,VCL,DepoFacies
2520.0,100.3783,108.12180328369101,0.3432,0.0114,2.3697,0.8161,0.0
2520.15,96.2967,108.80809783935499,0.3342,0.0093,2.3904,0.826,0.0
2520.3,90.8146,107.201103210449,0.3184,0.0111,2.42,0.8175,0.0
2520.45,85.9309,103.426902770996,0.2871,0.0313,2.4365,0.7494,0.0
2520.6,82.7016,99.80490112304692,0.2557,0.0528,2.4139,0.6382,0.0
2520.75,80.8421,97.3189010620117,0.2384,0.0882,2.3652,0.5329,2.0
2520.9,79.7616,95.1753997802734,0.2349,0.1149,2.3268,0.4689,2.0
2521.05,79.2767,94.64450073242192,0.2395,0.1216,2.3164,0.4629,2.0
2521.2,79.2263,97.94869995117192,0.2504,0.1069,2.3316,0.5231,2.0
2521.35,79.5253,102.13390350341801,0.2586,0.0796,2.366,0.6052,2.0
2521.5,80.3517,102.163398742676,0.2544,0.0605,2.3975,0.6325,0.0
2521.65,81.1058,97.1426010131836,0.247,0.07,2.3925,0.5796,0.0
2521.8,81.6927,91.4029998779297,0.2476,0.0963,2.3607,0.5077,2.0
2521.95,81.9734,88.7307968139648,0.2479,0.1127,2.3403,0.46799999999999997,2.0
2522.1,81.7113,89.3748016357422,0.2404,0.1098,2.3446,0.4622,2.0
2522.25,81.10300000000001,91.9726028442383,0.2309,0.0959,2.3637,0.4817,2.0
2522.4,80.4045,96.66089630126949,0.2317,0.076,2.3867,0.5395,2.0
2522.55,79.9042,102.758003234863,0.2422,0.0605,2.4014,0.6165,2.0
2522.7,79.6392,107.47039794921899,0.2487,0.0499,2.4067,0.6659999999999999,2.0
2522.85,79.4585,107.83489990234399,0.2416,0.0497,2.4074,0.655,1.0
2523.0,79.2201,104.761199951172,0.2312,0.0605,2.3992,0.6052,1.0
2523.15,79.1157,100.957000732422,0.2292,0.076,2.3796,0.5545,1.0
2523.3,79.4863,96.8022003173828,0.2339,0.0929,2.359,0.5137,1.0
2523.45,80.3046,92.3655014038086,0.2376,0.1036,2.3496,0.4816,1.0
2523.6,81.1738,89.5386962890625,0.2401,0.1062,2.3501,0.4688,1.0
2523.75,81.8419,89.23190307617192,0.2418,0.1072,2.3487,0.4686,1.0
2523.9,82.2511,89.0175018310547,0.2358,0.1144,2.3387,0.4441,1.0
2524.05,82.3835,88.1567001342773,0.2309,0.1201,2.3321,0.4213,1.0
2524.2,82.5793,84.9767990112305,0.2248,0.1315,2.3217,0.3769,1.0
2524.35,82.5222,81.6686019897461,0.2267,0.1389,2.3169,0.3538,1.0
2524.5,82.52,79.70249938964841,0.2274,0.1418,2.3168,0.3423,1.0
2524.65,82.7776,78.2126998901367,0.2277,0.1408,2.322,0.3391,1.0
2524.8,83.1022,76.7643966674805,0.2353,0.1371,2.3304,0.3542,1.0
2524.95,83.5614,76.51930236816409,0.2423,0.1375,2.33,0.366,1.0
2525.1,84.0232,78.3877029418945,0.2363,0.14400000000000002,2.3156,0.3501,1.0
2525.25,84.4767,80.1666030883789,0.2314,0.152,2.299,0.3332,1.0
2525.4,84.3743,80.2967987060547,0.2431,0.1554,2.2921,0.3495,1.0
2525.55,83.5152,82.2416000366211,0.2668,0.1471,2.299,0.41700000000000004,1.0
2525.7,82.4987,88.8488006591797,0.2873,0.11900000000000001,2.3259,0.5308,0.0
2525.85,80.9562,98.5619964599609,0.2962,0.0718,2.3789,0.6711,0.0
2526.0,79.1405,107.89990234375,0.2925,0.0146,2.4492,0.8034,0.0
2526.15,77.469,113.723602294922,0.2761,0.0001,2.512,0.8793,0.0
2526.3,76.137,113.94940185546899,0.2592,0.0001,2.5512,0.8913,0.0
2526.45,75.2014,109.331497192383,0.2561,0.0001,2.5725,0.8788,0.0
2526.6,74.5144,101.416603088379,0.2588,0.0001,2.5829,0.8274,0.0
2526.75,74.2082,92.6461029052734,0.2482,0.0001,2.5833,0.7673,0.0
2526.9,74.41,86.8889007568359,0.2304,0.0001,2.5722,0.6821,0.0
2527.05,75.2565,86.6802978515625,0.2268,0.0001,2.5579,0.6575,0.0
2527.2,76.2597,92.15039825439449,0.2459,0.0001,2.5506,0.7227,0.0
2527.35,77.2413,100.919502258301,0.2736,0.0001,2.5492,0.8242,0.0
2527.5,77.7503,109.516502380371,0.2822,0.0001,2.5439,0.88,0.0
2527.65,77.9084,114.912399291992,0.2707,0.0001,2.5378,0.9053,0.0
2527.8,77.8467,116.029197692871,0.2616,0.0001,2.5428,0.9002,0.0
2527.95,77.6796,114.91699981689501,0.2622,0.0001,2.5541,0.9068,0.0
2528.1,77.257,115.02239990234399,0.2662,0.0001,2.5584,0.9157,0.0
2528.25,76.4916,117.119598388672,0.2673,0.0001,2.5542,0.9293,0.0
2528.4,75.8732,119.043701171875,0.265,0.0001,2.5467,0.9309,0.0
2528.55,75.6045,120.018798828125,0.259,0.0001,2.5358,0.9129999999999999,0.0
2528.7,75.5643,121.91359710693399,0.2481,0.0001,2.5214,0.8875,0.0
2528.85,75.707,123.468803405762,0.2436,0.0001,2.5129,0.8791,0.0
2529.0,76.0455,125.63880157470699,0.243,0.0001,2.4938,0.8706,0.0
2529.15,76.6022,123.799598693848,0.2519,0.0001,2.4761,0.8564,0.0
2529.3,77.465,119.013397216797,0.2617,0.0024,2.458,0.8244,0.0
2529.45,78.7762,112.529403686523,0.2673,0.0351,2.4194,0.75,0.0
2529.6,80.5203,102.178100585938,0.2607,0.0882,2.3523,0.5942,0.0
2529.75,82.5641,88.62220001220699,0.2344,0.151,2.2829,0.376,0.0
2529.9,84.6918,75.646598815918,0.2063,0.1974,2.2379,0.1854,2.0
2530.05,86.5362,65.6230010986328,0.1951,0.21899999999999997,2.2204,0.095,2.0
2530.2,87.6574,59.12480163574221,0.2038,0.233,2.2178,0.0528,2.0
2530.35,88.0676,55.7690010070801,0.223,0.2394,2.2198,0.0691,2.0
2530.5,88.2754,54.0742988586426,0.2367,0.2413,2.2205,0.0861,2.0
2530.65,88.5947,53.834098815918,0.2363,0.2424,2.2193,0.0824,2.0
2530.8,89.0675,54.9570999145508,0.22699999999999998,0.2486,2.2163,0.0438,2.0
2530.95,89.37799999999999,56.351600646972706,0.2208,0.2504,2.2136,0.0305,2.0
2531.1,89.4005,56.626399993896506,0.2201,0.2487,2.2157,0.0336,2.0
2531.25,89.1267,56.4087982177734,0.2163,0.2446,2.2234,0.0331,2.0
2531.4,88.7046,56.64179992675779,0.2071,0.2384,2.234,0.0282,2.0
2531.55,88.4104,56.5308990478516,0.2013,0.2334,2.2431,0.0261,2.0
2531.7,88.2862,55.843101501464794,0.2055,0.2336,2.2434,0.0311,2.0
2531.85,88.3137,56.3987007141113,0.2137,0.2397,2.2315,0.0371,2.0
2532.0,88.3512,58.3412017822266,0.2151,0.2441,2.2175,0.0381,2.0
2532.15,88.2833,59.8513984680176,0.2116,0.2441,2.2109,0.0345,2.0
2532.3,88.1361,61.375301361084006,0.2142,0.2421,2.2086,0.0485,2.0
2532.45,87.9097,63.3843994140625,0.218,0.2381,2.2081,0.0708,2.0
2532.6,87.4837,64.8712005615234,0.2118,0.2318,2.2144,0.0764,2.0
2532.75,86.7891,65.8470001220703,0.2012,0.2219,2.2293,0.0793,2.0
2532.9,85.9528,67.3658981323242,0.1953,0.2095,2.246,0.098,2.0
2533.05,85.1926,70.32119750976561,0.1937,0.1983,2.2564,0.1289,2.0
2533.2,84.552,74.8557968139648,0.1978,0.1891,2.2587,0.1739,2.0
2533.35,84.0661,77.8094024658203,0.2106,0.1838,2.2578,0.2213,2.0
2533.5,83.9178,76.6240005493164,0.2211,0.184,2.2591,0.2356,2.0
2533.65,83.9445,75.04319763183591,0.2212,0.1855,2.2609,0.2261,2.0
2533.8,84.1735,72.17120361328121,0.2142,0.1877,2.2664,0.1967,2.0
2533.95,84.2709,71.2649002075195,0.2105,0.1852,2.2734,0.1905,2.0
2534.1,84.0411,72.8893966674805,0.2162,0.1776,2.2805,0.2226,2.0
2534.25,83.7832,75.4446029663086,0.2219,0.1694,2.2858,0.2597,2.0
2534.4,83.8003,76.81610107421879,0.2209,0.1693,2.2824,0.2639,1.0
2534.55,84.2261,76.81590270996091,0.2161,0.1771,2.2705,0.24,1.0
2534.7,84.9474,75.9310989379883,0.2099,0.1846,2.2616,0.2102,1.0
2534.85,85.7634,74.3425979614258,0.2066,0.1875,2.2615,0.1915,1.0
2535.0,86.2093,73.7889022827148,0.2102,0.188,2.2616,0.1949,1.0
2535.15,86.3982,76.548698425293,0.2158,0.1895,2.251,0.2146,1.0
2535.3,86.5404,81.5282974243164,0.2103,0.1959,2.2295,0.2153,1.0
2535.45,86.5951,84.8122024536133,0.1944,0.1983,2.2113,0.215,1.0
2535.6,86.4356,82.94239807128909,0.1817,0.1956,2.2156,0.2011,1.0
2535.75,86.1164,77.59230041503909,0.1817,0.191,2.2462,0.1611,2.0
2535.9,85.7204,73.6279983520508,0.1877,0.1799,2.2778,0.1662,2.0
2536.05,85.4748,74.779296875,0.1927,0.1757,2.2809,0.1887,2.0
2536.2,85.7832,80.4928970336914,0.1959,0.1788,2.2617,0.2155,2.0
2536.35,85.9758,86.61609649658199,0.1983,0.1782,2.248,0.2501,2.0
2536.5,85.9125,87.4216995239258,0.1996,0.1752,2.251,0.2623,2.0
2536.65,85.6267,81.9404983520508,0.2017,0.1763,2.2614,0.2379,2.0
2536.8,85.675,75.0410995483398,0.2027,0.184,2.2657,0.1935,2.0
2536.95,86.0706,70.3600006103516,0.2028,0.1952,2.2601,0.1523,2.0
2537.1,86.48100000000001,67.5469970703125,0.2061,0.2062,2.25,0.1263,2.0
2537.25,86.8603,66.84609985351561,0.2101,0.2095,2.2462,0.1248,2.0
2537.4,87.4671,72.1496963500977,0.2176,0.1881,2.2658,0.2028,2.0
2537.55,88.5144,87.6178970336914,0.2414,0.1129,2.3196,0.5086,2.0
2537.7,89.318,109.916603088379,0.2903,0.0109,2.3919,0.8183,0.0
2537.85,89.3505,127.66470336914101,0.3495,0.0001,2.4465,1.0,0.0
2538.0,88.5922,133.917098999023,0.3639,0.0001,2.4706,1.0,0.0
2538.15,86.9108,133.149795532227,0.3244,0.0001,2.4827,1.0,0.0
2538.3,84.3811,131.47140502929702,0.2815,0.0001,2.4922,1.0,0.0
2538.45,82.9881,130.427093505859,0.2688,0.0001,2.4929,1.0,0.0
2538.6,80.6456,126.87680053710899,0.261,0.0001,2.483,1.0,0.0
2538.75,79.2416,122.268997192383,0.2636,0.0001,2.4635,0.9898,0.0
2538.9,79.1215,118.636199951172,0.2614,0.0001,2.4386,0.9394,0.0
2539.05,80.2325,114.37319946289101,0.2582,0.0001,2.4023,0.8802,0.0
2539.2,81.6402,108.285598754883,0.2586,0.0104,2.3599,0.7956,1.0
2539.35,82.7929,102.284301757812,0.25,0.0645,2.3312,0.7123,1.0
2539.5,83.6785,98.427001953125,0.2312,0.0847,2.3235,0.6587,1.0
2539.65,84.15899999999999,96.2115020751953,0.2181,0.0862,2.3244,0.6279,1.0
2539.8,84.1331,93.8438034057617,0.2168,0.0928,2.3217,0.5951,1.0
2539.95,83.6766,90.6865005493164,0.2209,0.1054,2.3152,0.5512,1.0
2540.1,82.9653,88.7173004150391,0.2251,0.11,2.3102,0.5239,1.0
2540.25,82.3256,89.5112991333008,0.2239,0.1086,2.3088,0.5349,1.0
2540.4,82.1483,90.57879638671879,0.2145,0.1072,2.3074,0.5497,1.0
2540.55,82.4936,89.7494964599609,0.2033,0.1074,2.3046,0.5382,1.0
2540.7,83.0407,86.86229705810551,0.1973,0.1117,2.3085,0.4981,1.0
2540.85,83.29700000000001,83.5063018798828,0.1951,0.1107,2.3232,0.4515,1.0
2541.0,83.0063,81.6402969360352,0.1984,0.1095,2.3378,0.4256,1.0
2541.15,82.4435,81.0979995727539,0.2077,0.1138,2.3358,0.418,1.0
2541.3,82.0489,80.2437973022461,0.2126,0.1232,2.3216,0.4062,1.0
2541.45,82.0509,79.9405975341797,0.2095,0.1275,2.3113,0.402,1.0
2541.6,82.6122,80.8928985595703,0.214,0.1276,2.3080000000000003,0.4152,1.0
2541.75,83.8126,80.88909912109379,0.2322,0.1349,2.3018,0.4151,1.0
2541.9,85.459,79.7186965942383,0.2467,0.1504,2.2822,0.3989,1.0
2542.05,87.0809,79.5039978027344,0.247,0.1613,2.2565,0.3959,1.0
2542.2,88.0749,79.1481018066406,0.243,0.1656,2.2455,0.3909,1.0
2542.35,88.1691,77.097297668457,0.2355,0.1643,2.2567,0.3625,1.0
2542.5,87.557,75.2955017089844,0.2237,0.1578,2.2764,0.3374,1.0
2542.65,86.4588,75.0231018066406,0.2122,0.1509,2.2874,0.3337,1.0
2542.8,85.0946,74.9578018188477,0.2047,0.1493,2.2866,0.3327,1.0
2542.95,83.7832,74.2507019042969,0.20199999999999999,0.1558,2.2734,0.3229,1.0
2543.1,83.1764,73.8797988891602,0.2036,0.1611,2.2638,0.3178,1.0
2543.25,82.3444,73.5643005371094,0.2152,0.1704,2.2505,0.3134,1.0
2543.4,82.0411,73.31590270996091,0.2356,0.179,2.2574,0.2861,1.0
2543.55,82.0437,72.9256973266602,0.2526,0.1783,2.2896,0.2811,1.0
2543.7,81.7356,75.2565994262695,0.2577,0.1515,2.3441,0.311,1.0
2543.85,80.7072,86.4421005249023,0.2559,0.09300000000000001,2.4107,0.4544,1.0
2544.0,79.7935,103.641502380371,0.2476,0.023,2.4583,0.6749,0.0
2544.15,79.4091,113.798500061035,0.2324,0.0001,2.4614,0.8051,0.0
2544.3,79.0889,111.85500335693399,0.2188,0.0001,2.4416,0.7802,0.0
2544.45,78.9224,107.34609985351601,0.2137,0.0001,2.4281,0.7224,0.0
2544.6,79.0348,107.22679901123001,0.2138,0.0001,2.423,0.7209,0.0
2544.75,79.357,108.986602783203,0.2113,0.0001,2.4229,0.7434,0.0
2544.9,79.7897,110.235397338867,0.2049,0.0001,2.4236,0.7594,0.0
2545.05,80.3248,110.392196655273,0.2062,0.0001,2.4123,0.7614,0.0
